Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur
Outra,911 Turbo Cabriolet,2008,82077,Gasoline,480,3.6,6,DCT,Outra,Black,At least 1 accident or damage reported,Yes,63245
Outra,Martin DBS Superleggera,2019,36645,Gasoline,715,5.2,12,Automatic,Outra,Black,None reported,Yes,167991
Ford,Transit Connect XLT,2016,179764,E85 Flex Fuel,169,2.5,4,Automatic,white,beige,None reported,Yes,14105
Outra,Quattroporte S,2019,37385,Gasoline,424,3.0,6,Automatic,Black,Black,None reported,Yes,40949
Outra,Rover Defender S,2023,24462,Gasoline,296,2.0,4,Automatic,white,Black,None reported,Yes,57329
Outra,Tundra SR5,2020,42326,Gasoline,381,5.7,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,42041
Outra,Mazda6 Touring,2021,84093,Gasoline,,2.5,,Automatic,white,Black,At least 1 accident or damage reported,Yes,22946
BMW,i3 Base,2015,41843,Outro,170,0.65,,Automatic,white,beige,None reported,Yes,13649
Outra,Grand Cherokee Limited,2020,76444,Gasoline,293,3.6,6,Automatic,Outra,Black,None reported,Yes,28210
BMW,640 Gran Coupe i xDrive,2015,157716,Gasoline,315,3.0,6,DCT,Black,beige,None reported,Yes,20475
Outra,Accord EX-L 2.0T,2019,64485,Gasoline,252,2.0,4,Automatic,white,Black,At least 1 accident or damage reported,Yes,25025
Outra,Rio S,2021,108930,Gasoline,120,1.6,4,Automatic,Outra,Black,None reported,Yes,14287
Ford,F-250 King Ranch,2015,157233,Diesel,440,6.7,8,Automatic,Black,Outra,None reported,Yes,36354
Outra,911 Turbo S,2019,35406,Gasoline,580,3.8,6,Automatic,white,beige,None reported,Yes,159159
BMW,M2 Competition,2020,40255,Gasoline,405,3.0,6,Automatic,Black,Black,None reported,Yes,50050
BMW,328 i xDrive,2016,104607,Gasoline,240,2.0,4,DCT,Outra,Black,None reported,Yes,17745
Ford,Expedition Limited,2018,159317,Gasoline,,,,Automatic,Outra,Outra,None reported,No,31848
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157716,Gasoline,248,3.5,6,Automatic,white,beige,At least 1 accident or damage reported,Yes,14105
Outra,Yukon SLT,2018,137599,Gasoline,355,5.3,8,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32668
BMW,330e iPerformance,2018,72828,Plug-In Hybrid,247,2.0,4,DCT,Black,Black,None reported,Yes,22745
Ford,Explorer Limited,2022,28164,Hybrid,318,3.3,6,Automatic,white,Black,None reported,Yes,41860
Outra,Pacifica Launch Edition,2020,35727,Gasoline,287,3.6,6,Automatic,Black,Black,None reported,Yes,33488
Outra,Model 3 Long Range,2019,43650,Outro,425,,,Automatic,Outra,Black,None reported,Yes,34762
Outra,Enclave Leather,2015,110486,Gasoline,288,3.6,6,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,17244
Outra,Wrangler Sport,2012,92114,Gasoline,285,3.6,6,Automatic,Black,Black,None reported,Yes,20475
Outra,A4 2.0T Premium Plus,2015,117482,E85 Flex Fuel,220,2.0,4,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15652
Outra,Optima EX,2019,109703,Gasoline,,1.6,,Automatic,Outra,Black,None reported,No,18944
Outra,Impreza WRX Base,2013,181856,Gasoline,265,2.5,4,Manual,Outra,Black,At least 1 accident or damage reported,Yes,14560
Outra,Touareg TDI Lux,2015,24409,Diesel,240,3.0,6,Automatic,Outra,Black,None reported,Yes,31850
Outra,Escalade Platinum,2020,78235,Gasoline,420,6.2,8,Automatic,Black,Black,At least 1 accident or damage reported,Yes,55965
Outra,Rover Range Rover Sport HSE,2007,354056,Gasoline,300,4.4,8,Automatic,white,beige,None reported,Yes,5232
Outra,QX80 SENSORY,2022,42680,Gasoline,400,5.6,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,58240
BMW,Z4 3.0si,2008,95365,Gasoline,255,3.0,6,Manual,Outra,Black,None reported,Yes,16562
Ford,F-250 XLT Super Duty,2001,103495,Gasoline,260,5.4,8,Automatic,white,Outra,None reported,Yes,6825
BMW,X5 xDrive35i,2017,169142,Gasoline,300,3.0,6,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,21203
Outra,Xterra S,2012,128748,Gasoline,261,4.0,6,Automatic,Black,Outra,None reported,Yes,13468
Chevrolet,Silverado 2500 LT,2016,135862,E85 Flex Fuel,360,6.0,8,Automatic,white,Black,None reported,Yes,33488
Mercedes-Benz,GL-Class GL 450,2011,149669,Gasoline,335,4.7,8,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,10829
Chevrolet,Trailblazer LT,2021,81510,Gasoline,,1.2,,Automatic,Outra,Outra,None reported,No,21835
Mercedes-Benz,AMG GLS 63 4MATIC,2023,3219,Hybrid,603,4.0,8,Automatic,Outra,beige,None reported,Yes,159250
Outra,Convertible John Cooper Works,2017,39075,Gasoline,228,2.0,4,Automatic,Black,Black,At least 1 accident or damage reported,Yes,26390
Outra,Compass Sport,2010,289199,Gasoline,172,2.4,4,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,4095
Outra,86 860 Special Edition,2017,140818,Gasoline,200,2.0,4,Automatic,Outra,Black,None reported,Yes,18200
Outra,Charger SRT Hellcat Widebody,2023,8047,Gasoline,717,6.2,8,DCT,Outra,Black,None reported,Yes,100100
Outra,Atlas 3.6L SEL Premium R-Line,2022,22531,Gasoline,276,3.6,6,Automatic,Outra,Black,None reported,Yes,42679
Outra,S4 3.0 Prestige,2012,62311,Gasoline,333,3.0,6,Automatic,Black,Black,None reported,Yes,28210
Outra,Grand Cherokee Laredo,2012,267151,E85 Flex Fuel,290,3.6,6,Automatic,white,Outra,At least 1 accident or damage reported,Yes,11830
Outra,Civic Sport,2020,37226,Gasoline,,2.0,,Automatic,Outra,Black,At least 1 accident or damage reported,No,21602
Outra,Aviator Reserve AWD,2022,29284,Gasoline,400,3.0,6,DCT,Black,Outra,None reported,Yes,56420
Outra,4Runner Sport,2004,354780,Gasoline,245,4.0,6,Automatic,Outra,Outra,None reported,Yes,7780
Outra,R1S Launch Edition,2023,481,Outro,835,,,Automatic,Outra,Outra,None reported,Yes,84175
Mercedes-Benz,E-Class E 350 4MATIC,2014,144138,Gasoline,302,3.5,6,Automatic,Outra,Black,None reported,Yes,17285
Outra,Q60 3.0T Premium,2017,172811,Gasoline,300,3.0,6,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,15925
Outra,Solstice Base,2007,100278,Gasoline,177,2.4,4,Automatic,Outra,Black,None reported,Yes,11739
Outra,Rover Range Rover Sport First Edition,2023,5687,Hybrid,,,,Automatic,Outra,Black,None reported,No,131038
Outra,Macan S,2022,32589,Gasoline,375,2.9,6,Automatic,white,beige,None reported,Yes,62335
Outra,Q5 Premium,2023,3903,Hybrid,,,,Automatic,Outra,Outra,None reported,No,39128
Outra,Tucson Limited,2008,239792,Gasoline,173,2.7,6,Automatic,Black,Outra,None reported,Yes,3504
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,52304,Gasoline,385,3.0,6,Automatic,Black,Black,None reported,Yes,39585
Outra,Sierra 1500 Limited Elevation,2022,40073,Gasoline,310,2.7,4,Automatic,Black,Black,None reported,Yes,45409
Ford,Bronco,2021,5787,Gasoline,,2.7,6,Automatic,Outra,Outra,None reported,No,51779
Ford,Expedition Max Limited,2022,42648,Gasoline,440,3.5,6,Automatic,white,beige,None reported,Yes,59969
Outra,CTS-V Base,2006,197949,Gasoline,400,6.0,8,Manual,Black,Black,None reported,Yes,13650
Outra,Liberty Limited,2010,172200,Gasoline,210,3.7,6,Automatic,Outra,Outra,None reported,Yes,5369
Mercedes-Benz,S-Class S 550,2016,125691,Gasoline,449,4.7,8,Automatic,Black,Black,None reported,Yes,31395
Outra,Dakota Sport,2002,241402,Gasoline,175,3.9,6,Manual,Black,Outra,At least 1 accident or damage reported,Yes,5005
Outra,Escalade Premium Luxury,2017,88514,Gasoline,420,6.2,8,Automatic,white,beige,At least 1 accident or damage reported,Yes,45409
Outra,R8 Base,2008,78858,Gasoline,420,4.2,8,Manual,Black,Black,None reported,Yes,57330
Outra,H2 Base,2005,233355,Gasoline,325,6.0,8,Automatic,Outra,Black,None reported,Yes,20475
Ford,Mustang Shelby GT500,2013,26519,Gasoline,650,5.8,8,Manual,white,Black,None reported,Yes,60424
Outra,Niro Plug-In Hybrid EX,2023,15128,Plug-In Hybrid,180,1.6,4,Automatic,Black,Black,None reported,Yes,28665
Ford,Focus RS Base,2017,41843,Gasoline,350,2.3,4,Manual,Outra,Black,None reported,Yes,33670
Outra,Boxster S,2005,153161,Gasoline,280,3.2,6,Manual,Outra,Outra,None reported,Yes,22659
Outra,Supra A91-MT Edition,2023,2414,Gasoline,382,3.0,6,Manual,Outra,Outra,None reported,Yes,77259
Outra,A4 2.0T Premium,2012,201168,Gasoline,211,2.0,4,Automatic,Black,Black,None reported,Yes,9555
Outra,SQ5 3.0T Prestige,2019,78053,Gasoline,349,3.0,6,DCT,Outra,Black,At least 1 accident or damage reported,Yes,39585
Mercedes-Benz,G-Class G 550 4MATIC,2016,82646,Gasoline,416,4.0,8,Automatic,Outra,Black,None reported,Yes,66430
Ford,Escape SE,2015,87479,Gasoline,173,1.6,4,Automatic,white,Outra,None reported,Yes,14788
Ford,F-250 Lariat,2017,116079,E85 Flex Fuel,,6.2,8,Automatic,white,Outra,None reported,No,41846
Chevrolet,Colorado ZR2,2019,62603,Gasoline,308,3.6,6,Automatic,white,Black,None reported,Yes,31577
Outra,Grand Wagoneer Series III,2022,50070,Gasoline,471,6.4,8,Automatic,Black,Black,None reported,Yes,75530
Outra,Model 3 Standard Range Plus,2021,34762,Outro,271,,,Automatic,white,Black,None reported,Yes,28210
Chevrolet,Express 2500 Work Van,2012,226113,E85 Flex Fuel,324,6.0,8,Automatic,white,Outra,None reported,Yes,10738
Outra,Optima EX,2012,245457,Gasoline,200,2.4,4,Automatic,white,beige,None reported,Yes,9919
Outra,ES 350 Base,2016,63891,Gasoline,268,3.5,6,Automatic,white,beige,None reported,Yes,23205
Chevrolet,Colorado ZR2,2021,40097,Gasoline,,3.6,6,Automatic,Outra,Outra,None reported,No,40760
Outra,Ghibli S Q4 GranSport,2020,41394,Gasoline,,3.0,6,Automatic,Outra,Outra,None reported,Yes,47907
Outra,Crosstrek 2.0i Limited,2018,135272,Gasoline,152,2.0,4,CVT,Outra,Black,None reported,Yes,19564
Outra,RS 7 4.0T Prestige,2016,104285,Gasoline,560,4.0,8,Automatic,white,Outra,None reported,Yes,45500
Outra,Mazda6 i Grand Touring,2016,133736,Outro,,,,Automatic,white,Outra,None reported,Yes,16198
Outra,Q8 55 Premium,2020,55200,Hybrid,335,3.0,6,Automatic,Outra,Outra,None reported,Yes,47775
Outra,GX 470 Base,2005,318650,Gasoline,270,4.7,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,14105
Ford,Mustang Mach-E Premium,2022,9334,Outro,346,,,Automatic,white,Outra,None reported,Yes,38675
Outra,RS 7 4.0T,2022,6598,Hybrid,591,4.0,8,Automatic,Outra,Black,None reported,Yes,147875
Ford,F-250 Lariat,2019,129069,E85 Flex Fuel,385,6.2,8,Automatic,white,Black,None reported,Yes,38675
Mercedes-Benz,C-Class C 300 4MATIC,2022,13813,Gasoline,,2.0,,Automatic,Outra,Outra,None reported,No,39129
Ford,Mustang EcoBoost Premium,2017,95756,Gasoline,310,2.3,4,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110
Outra,Model Y Long Range,2023,9405,Outro,425,,,Automatic,white,Black,None reported,Yes,47320
Outra,MKS EcoBoost,2016,61316,Gasoline,365,3.5,6,Automatic,Outra,beige,None reported,Yes,19110
Outra,ATS 2.5L Luxury,2013,362102,Gasoline,202,2.5,4,Automatic,Outra,Black,None reported,Yes,12376
Outra,Leaf SL,2012,164153,Outro,107,,,Automatic,Outra,Outra,None reported,Yes,3822
Outra,Lancer Evolution MR,2006,205996,Gasoline,286,2.0,4,Manual,Outra,Black,None reported,Yes,34579
BMW,X5 xDrive40i,2020,7854,Gasoline,,,,Automatic,white,Black,None reported,No,52778
Chevrolet,Colorado Z85,2005,249448,Gasoline,220,3.5,5,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,7275
Outra,Golf Auto TSI S,2015,173074,Gasoline,170,1.8,4,DCT,Black,Black,None reported,Yes,12012
BMW,Z4 sDrive28i,2016,94951,Gasoline,240,2.0,4,Automatic,Black,beige,None reported,Yes,22750
Outra,Model X Long Range,2022,12070,Outro,670,,,Automatic,Outra,Black,None reported,Yes,76440
Outra,Solstice GXP,2008,61316,Gasoline,260,2.0,4,Manual,Outra,Black,None reported,Yes,18154
Outra,LS 430 Base,2006,308994,Gasoline,278,4.3,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6725
Ford,Fusion SE,2014,130035,Gasoline,175,2.5,4,Automatic,Outra,beige,None reported,Yes,9100
Outra,BRZ Premium,2023,9334,Gasoline,228,2.4,4,Manual,Black,Black,None reported,Yes,27291
Ford,Mustang GT Premium,2013,28968,Gasoline,412,5.0,8,Automatic,Outra,Black,None reported,Yes,26390
Chevrolet,Sonic LT,2013,177028,Outro,,,,Automatic,Outra,Black,None reported,Yes,6825
Outra,Golf GTI 2.0T Autobahn,2022,10300,Gasoline,241,2.0,4,Automatic,Outra,Black,None reported,Yes,37765
Chevrolet,Silverado 1500 2LT,2014,165125,E85 Flex Fuel,355,5.3,8,Automatic,Outra,Outra,None reported,Yes,23205
Outra,Durango SRT 392,2022,51365,Gasoline,475,6.4,8,Automatic,Outra,Black,None reported,Yes,58862
Outra,CC Sport,2012,212411,Gasoline,200,2.0,4,Manual,white,Black,At least 1 accident or damage reported,Yes,8190
Outra,Cooper Base,2009,145432,Gasoline,118,1.6,4,Manual,Outra,Black,None reported,Yes,8418
Outra,Impreza WRX Premium,2014,88514,Gasoline,265,2.5,4,Manual,white,Black,None reported,Yes,27300
Ford,Transit-350 Base,2015,180247,Gasoline,310,3.5,6,Automatic,white,Outra,At least 1 accident or damage reported,Yes,26845
Outra,Charger GT,2021,53108,Gasoline,300,3.6,6,DCT,white,Outra,At least 1 accident or damage reported,Yes,24569
Mercedes-Benz,C-Class C300 4MATIC,2022,21206,Gasoline,,,,Automatic,white,beige,None reported,No,40766
BMW,X1 xDrive28i,2020,45044,Gasoline,228,2.0,4,Automatic,Outra,Black,None reported,Yes,26390
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,53546,Gasoline,192,2.3,4,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,10829
Outra,MX-5 Miata Grand Touring,2007,131001,Gasoline,166,2.0,4,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,10010
Outra,Civic Sport,2022,40910,Gasoline,158,2.0,4,CVT,Outra,Outra,None reported,Yes,22295
Outra,Titan SL,2021,154486,Gasoline,,5.6,8,Automatic,white,Black,None reported,Yes,29677
Ford,F-250 Limited,2018,102998,Diesel,450,6.7,8,Automatic,Outra,beige,None reported,Yes,58240
Outra,Model 3 Long Range,2018,58237,Outro,271,,,Automatic,white,Black,None reported,Yes,26294
Outra,G35 Sport,2007,59707,Gasoline,306,3.5,6,Manual,Outra,Black,None reported,Yes,15379
BMW,M4 Base,2018,31060,Gasoline,425,3.0,6,Manual,white,Outra,None reported,Yes,58240
Outra,Dakota SLT,2003,228205,Gasoline,230,4.7,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,5187
Outra,Wrangler SE,2000,153210,Gasoline,120,2.5,4,Manual,Black,Black,None reported,Yes,10919
Outra,Civic EX,2020,22426,Gasoline,174,1.5,4,CVT,Outra,Black,None reported,Yes,23660
Chevrolet,Camaro 1SS,2022,10686,Gasoline,455,6.2,8,Automatic,Outra,Black,None reported,Yes,47319
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,115068,Gasoline,577,5.5,8,Automatic,white,Outra,None reported,Yes,55510
Chevrolet,Camaro 2LT,2011,203904,Gasoline,312,3.6,6,DCT,white,beige,At least 1 accident or damage reported,Yes,12740
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,90123,Gasoline,518,6.3,8,Automatic,Black,Black,None reported,Yes,40814
Outra,MX-5 Miata Shinsen,2003,75435,Gasoline,142,1.8,4,Manual,Outra,Outra,None reported,Yes,10465
BMW,X7 xDrive40i,2021,48778,Hybrid,,,,Automatic,Outra,Outra,None reported,No,57874
Ford,F-150 XLT,2019,112332,E85 Flex Fuel,395,5.0,8,Automatic,Outra,Outra,None reported,Yes,31486
Outra,TL 3.2,2008,311864,Gasoline,258,3.2,6,Automatic,Black,Black,At least 1 accident or damage reported,Yes,9100
Outra,R1S Adventure Package,2023,402,Outro,835,,,Automatic,Outra,Black,None reported,No,85540
Outra,Cayenne GTS Coupe AWD,2023,16093,Gasoline,453,4.0,8,Automatic,Outra,Black,None reported,Yes,131950
Outra,Model S P100D,2018,16198,Outro,,,,Automatic,Outra,Outra,None reported,No,54599
Outra,Cayenne Base,2014,189415,Gasoline,300,3.6,6,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15447
Mercedes-Benz,CLA-Class CLA 250,2016,142588,Gasoline,208,2.0,4,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15288
Outra,Ascent Touring 7-Passenger,2021,51901,Gasoline,260,2.4,4,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32760
BMW,X1 xDrive28i,2020,29290,Gasoline,228,2.0,4,Automatic,white,beige,At least 1 accident or damage reported,Yes,26845
Outra,Atlas 3.6L SEL Premium,2021,58437,Gasoline,,3.6,6,Automatic,Outra,Outra,None reported,Yes,35606
Mercedes-Benz,GLC 300 Base 4MATIC,2018,71593,Gasoline,,2.0,,Automatic,Outra,Black,None reported,No,23319
Outra,NV200 S,2019,83686,Gasoline,131,2.0,4,CVT,Black,Outra,At least 1 accident or damage reported,Yes,17745
Chevrolet,Camaro 1LT,2019,14663,Gasoline,,3.6,6,Automatic,white,Outra,None reported,No,25115
Mercedes-Benz,S-Class S 450,2018,112010,Gasoline,362,3.0,6,Automatic,Black,Black,None reported,Yes,37208
Ford,Mustang GT Premium,2010,111045,Gasoline,315,4.6,8,Automatic,white,Black,None reported,Yes,18200
Outra,Enclave Avenir,2019,195569,Gasoline,,3.6,6,Automatic,Outra,Outra,None reported,Yes,24363
Outra,DTS Luxury II,2008,151528,Gasoline,275,4.6,8,Automatic,white,beige,None reported,Yes,9555
Outra,Telluride SX,2021,62140,Gasoline,,3.8,6,Automatic,Outra,Black,None reported,No,38440
Outra,A6 55 Premium,2019,17432,Hybrid,335,3.0,6,Automatic,Black,Black,None reported,Yes,38675
Outra,XT5 Luxury,2019,71925,Gasoline,,3.6,6,Automatic,Outra,beige,None reported,No,29455
BMW,650 i,2012,64309,Gasoline,400,4.4,8,Manual,white,Outra,None reported,Yes,35485
Outra,FX37 Base,2013,82881,Gasoline,325,3.7,6,Automatic,Outra,Black,None reported,Yes,21749
Outra,Lancer Evolution GSR,2012,53108,Gasoline,291,2.0,4,Manual,Black,Black,None reported,Yes,31849
BMW,750 Li,2007,184315,Gasoline,360,4.8,8,Automatic,Black,Black,None reported,Yes,8190
Outra,QX80 Base,2017,195576,Gasoline,400,5.6,8,Automatic,Black,Black,At least 1 accident or damage reported,Yes,25935
Outra,Wrangler Unlimited 4xe Sahara,2022,16898,Plug-In Hybrid,375,2.0,4,Automatic,Outra,beige,None reported,Yes,45499
Outra,Sonata GLS,2013,220466,Gasoline,198,2.4,4,Automatic,Outra,Outra,None reported,Yes,10010
Outra,XC90 Hybrid T8 R-Design,2018,64374,Plug-In Hybrid,400,2.0,4,DCT,Black,Black,None reported,Yes,38220
Outra,Rover Range Rover 3.0L V6 Supercharged HSE,2019,66305,Gasoline,380,3.0,6,DCT,Black,Black,None reported,Yes,55055
Ford,Expedition Limited,2021,38370,Gasoline,,3.5,6,Automatic,Outra,Outra,None reported,Yes,53875
Ford,F-150 XLT,2012,333295,Gasoline,365,3.5,6,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,13650
Outra,Matrix XRS,2003,231102,Gasoline,180,1.8,4,Manual,Black,Black,None reported,Yes,3821
Outra,Palisade Limited,2020,73732,Gasoline,291,3.8,6,DCT,Outra,Black,None reported,Yes,34307
BMW,535 i,2008,217261,Gasoline,300,3.0,6,Automatic,Outra,Black,None reported,Yes,5186
Outra,Escalade Base,2007,241402,Gasoline,403,6.2,8,Automatic,white,beige,None reported,Yes,9099
Outra,XK8 Base,2000,64374,Gasoline,290,4.0,8,Automatic,Outra,beige,None reported,Yes,14014
Outra,Wrangler Sport,2000,197861,Gasoline,181,4.0,6,Manual,Outra,Outra,None reported,Yes,12649
BMW,X3 M40i,2019,58641,Gasoline,,,,Automatic,white,Outra,None reported,No,36398
Outra,Sequoia Limited,2011,294510,Gasoline,381,5.7,8,Automatic,Outra,beige,None reported,Yes,14560
Outra,LC 500 Base,2018,59546,Gasoline,471,5.0,8,Automatic,Black,Outra,None reported,Yes,58237
Ford,Mustang Base,2008,191512,Gasoline,210,4.0,6,Automatic,white,Black,At least 1 accident or damage reported,Yes,12285
BMW,i3 120Ah w/Range Extender,2019,27319,Outro,170,0.65,,Automatic,Black,Black,None reported,Yes,24561
Outra,Ghibli S Q4,2015,46188,Gasoline,404,3.0,6,Automatic,white,Outra,None reported,No,22659
Outra,Pathfinder SL,2015,185075,Gasoline,260,3.5,6,Automatic,Outra,Black,None reported,Yes,10915
Mercedes-Benz,CLK-Class CLK 350,2008,117482,Gasoline,268,3.5,6,Automatic,Black,Black,None reported,Yes,7644
Outra,Stinger GT2,2020,91733,Gasoline,365,3.3,6,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,33215
Outra,911 Turbo Cabriolet,2009,21726,Gasoline,480,3.6,6,Manual,Outra,Black,None reported,Yes,118300
BMW,X6 xDrive50i,2017,126334,Gasoline,445,4.4,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,38220
BMW,ALPINA B7 Base,2013,59143,Gasoline,445,4.4,8,Automatic,Black,Black,None reported,Yes,32759
Outra,1500 Rebel,2019,74030,Hybrid,305,3.6,6,Automatic,white,Outra,None reported,Yes,34489
Outra,G90 5.0 Ultimate,2017,41843,Gasoline,420,5.0,8,DCT,white,beige,None reported,Yes,30576
Outra,Arnage R,2003,88594,Gasoline,400,6.75,8,Automatic,Outra,Outra,None reported,Yes,31845
Ford,Bronco Base,2022,9978,Gasoline,275,2.3,4,Manual,Black,Black,None reported,Yes,44590
Outra,LS 430 Base,2002,67592,Gasoline,290,4.3,8,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,14559
Mercedes-Benz,E-Class E 350,2016,93945,Gasoline,302,3.5,6,Automatic,white,beige,None reported,Yes,22749
Chevrolet,Corvette Stingray w/1LT,2021,16737,Gasoline,490,6.2,8,Automatic,Outra,Black,None reported,Yes,66339
BMW,525 i,2005,147126,Gasoline,215,2.5,6,Automatic,Black,Black,None reported,Yes,8099
Mercedes-Benz,AMG C 63 Base,2017,45704,Gasoline,469,4.0,8,Automatic,Outra,Black,None reported,Yes,50596
Outra,718 Cayman GT4,2020,21813,Gasoline,414,4.0,6,Manual,Outra,Black,None reported,Yes,113745
Outra,GV80 2.5T,2022,12107,Gasoline,,2.5,,Automatic,Black,Black,None reported,No,49634
Outra,Cayenne S,2015,199559,Gasoline,420,3.6,6,Automatic,white,beige,None reported,Yes,22750
BMW,528 i xDrive,2016,215652,Gasoline,240,2.0,4,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,12285
Outra,Model Y Long Range,2021,98666,Outro,425,,,Automatic,white,Outra,None reported,Yes,38220
BMW,M4 CS,2019,30689,Gasoline,,,,Automatic,white,Outra,None reported,No,63698
Outra,FJ Cruiser Base,2014,148060,Gasoline,260,4.0,6,Automatic,Outra,Black,None reported,Yes,25025
Chevrolet,Traverse RS,2021,71411,Gasoline,310,3.6,6,Automatic,Outra,Black,None reported,Yes,32760
