Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur
Outra,Santa Fe SE,2007,233355,Gasoline,242.0,3.3,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,3822
Outra,ILX Technology Plus Package,2016,98170,Gasoline,201.0,2.4,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110
Mercedes-Benz,E-Class E 350,2014,56327,Gasoline,302.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,27298
Outra,1500 Limited,2021,35406,Gasoline,395.0,5.7,8.0,Automatic,Black,Black,None reported,Yes,49868
Outra,F-TYPE S British Design Edition,2017,54959,Gasoline,380.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,41859
Outra,Highlander XLE,2018,119091,Gasoline,295.0,3.5,6.0,Automatic,white,Black,None reported,Yes,25434
Outra,911 Turbo Cabriolet,2008,82077,Gasoline,480.0,3.6,6.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,63245
Ford,Transit Connect XLT,2016,179764,E85 Flex Fuel,169.0,2.5,4.0,Automatic,white,beige,None reported,Yes,14105
Outra,Quattroporte S,2019,37385,Gasoline,424.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,40949
Outra,Rover Defender S,2023,24462,Gasoline,296.0,2.0,4.0,Automatic,white,Black,None reported,Yes,57329
Outra,Tundra SR5,2020,42326,Gasoline,381.0,5.7,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,42041
Outra,Grand Cherokee Limited,2020,76444,Gasoline,293.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,28210
BMW,640 Gran Coupe i xDrive,2015,157716,Gasoline,315.0,3.0,6.0,DCT,Black,beige,None reported,Yes,20475
Outra,Accord EX-L 2.0T,2019,64485,Gasoline,252.0,2.0,4.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,25025
Outra,Rio S,2021,108930,Gasoline,120.0,1.6,4.0,Automatic,Outra,Black,None reported,Yes,14287
Ford,F-250 King Ranch,2015,157233,Diesel,440.0,6.7,8.0,Automatic,Black,Outra,None reported,Yes,36354
BMW,M2 Competition,2020,40255,Gasoline,405.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,50050
BMW,328 i xDrive,2016,104607,Gasoline,240.0,2.0,4.0,DCT,Outra,Black,None reported,Yes,17745
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157716,Gasoline,248.0,3.5,6.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,14105
Outra,Yukon SLT,2018,137599,Gasoline,355.0,5.3,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32668
BMW,330e iPerformance,2018,72828,Plug-In Hybrid,247.0,2.0,4.0,DCT,Black,Black,None reported,Yes,22745
Ford,Explorer Limited,2022,28164,Hybrid,318.0,3.3,6.0,Automatic,white,Black,None reported,Yes,41860
Outra,Pacifica Launch Edition,2020,35727,Gasoline,287.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,33488
Outra,Enclave Leather,2015,110486,Gasoline,288.0,3.6,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,17244
Outra,Wrangler Sport,2012,92114,Gasoline,285.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,20475
Outra,A4 2.0T Premium Plus,2015,117482,E85 Flex Fuel,220.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15652
Outra,Impreza WRX Base,2013,181856,Gasoline,265.0,2.5,4.0,Manual,Outra,Black,At least 1 accident or damage reported,Yes,14560
Outra,Touareg TDI Lux,2015,24409,Diesel,240.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,31850
Outra,Escalade Platinum,2020,78235,Gasoline,420.0,6.2,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,55965
Outra,QX80 SENSORY,2022,42680,Gasoline,400.0,5.6,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,58240
BMW,Z4 3.0si,2008,95365,Gasoline,255.0,3.0,6.0,Manual,Outra,Black,None reported,Yes,16562
Ford,F-250 XLT Super Duty,2001,103495,Gasoline,260.0,5.4,8.0,Automatic,white,Outra,None reported,Yes,6825
BMW,X5 xDrive35i,2017,169142,Gasoline,300.0,3.0,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,21203
Outra,Xterra S,2012,128748,Gasoline,261.0,4.0,6.0,Automatic,Black,Outra,None reported,Yes,13468
Chevrolet,Silverado 2500 LT,2016,135862,E85 Flex Fuel,360.0,6.0,8.0,Automatic,white,Black,None reported,Yes,33488
Mercedes-Benz,GL-Class GL 450,2011,149669,Gasoline,335.0,4.7,8.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,10829
Outra,Convertible John Cooper Works,2017,39075,Gasoline,228.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,26390
Outra,Compass Sport,2010,289199,Gasoline,172.0,2.4,4.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,4095
Outra,86 860 Special Edition,2017,140818,Gasoline,200.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,18200
Outra,Atlas 3.6L SEL Premium R-Line,2022,22531,Gasoline,276.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,42679
Outra,S4 3.0 Prestige,2012,62311,Gasoline,333.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,28210
Outra,Grand Cherokee Laredo,2012,267151,E85 Flex Fuel,290.0,3.6,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,11830
Outra,Aviator Reserve AWD,2022,29284,Gasoline,400.0,3.0,6.0,DCT,Black,Outra,None reported,Yes,56420
Mercedes-Benz,E-Class E 350 4MATIC,2014,144138,Gasoline,302.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,17285
Outra,Q60 3.0T Premium,2017,172811,Gasoline,300.0,3.0,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,15925
Outra,Solstice Base,2007,100278,Gasoline,177.0,2.4,4.0,Automatic,Outra,Black,None reported,Yes,11739
Outra,Macan S,2022,32589,Gasoline,375.0,2.9,6.0,Automatic,white,beige,None reported,Yes,62335
Outra,Tucson Limited,2008,239792,Gasoline,173.0,2.7,6.0,Automatic,Black,Outra,None reported,Yes,3504
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,52304,Gasoline,385.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,39585
Outra,Sierra 1500 Limited Elevation,2022,40073,Gasoline,310.0,2.7,4.0,Automatic,Black,Black,None reported,Yes,45409
Ford,Expedition Max Limited,2022,42648,Gasoline,440.0,3.5,6.0,Automatic,white,beige,None reported,Yes,59969
Outra,CTS-V Base,2006,197949,Gasoline,400.0,6.0,8.0,Manual,Black,Black,None reported,Yes,13650
Outra,Liberty Limited,2010,172200,Gasoline,210.0,3.7,6.0,Automatic,Outra,Outra,None reported,Yes,5369
Mercedes-Benz,S-Class S 550,2016,125691,Gasoline,449.0,4.7,8.0,Automatic,Black,Black,None reported,Yes,31395
Outra,Dakota Sport,2002,241402,Gasoline,175.0,3.9,6.0,Manual,Black,Outra,At least 1 accident or damage reported,Yes,5005
Outra,Escalade Premium Luxury,2017,88514,Gasoline,420.0,6.2,8.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,45409
Outra,R8 Base,2008,78858,Gasoline,420.0,4.2,8.0,Manual,Black,Black,None reported,Yes,57330
Outra,H2 Base,2005,233355,Gasoline,325.0,6.0,8.0,Automatic,Outra,Black,None reported,Yes,20475
Outra,Niro Plug-In Hybrid EX,2023,15128,Plug-In Hybrid,180.0,1.6,4.0,Automatic,Black,Black,None reported,Yes,28665
Ford,Focus RS Base,2017,41843,Gasoline,350.0,2.3,4.0,Manual,Outra,Black,None reported,Yes,33670
Outra,Boxster S,2005,153161,Gasoline,280.0,3.2,6.0,Manual,Outra,Outra,None reported,Yes,22659
Outra,Supra A91-MT Edition,2023,2414,Gasoline,382.0,3.0,6.0,Manual,Outra,Outra,None reported,Yes,77259
Outra,A4 2.0T Premium,2012,201168,Gasoline,211.0,2.0,4.0,Automatic,Black,Black,None reported,Yes,9555
Outra,SQ5 3.0T Prestige,2019,78053,Gasoline,349.0,3.0,6.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,39585
Mercedes-Benz,G-Class G 550 4MATIC,2016,82646,Gasoline,416.0,4.0,8.0,Automatic,Outra,Black,None reported,Yes,66430
Ford,Escape SE,2015,87479,Gasoline,173.0,1.6,4.0,Automatic,white,Outra,None reported,Yes,14788
Chevrolet,Colorado ZR2,2019,62603,Gasoline,308.0,3.6,6.0,Automatic,white,Black,None reported,Yes,31577
Outra,Grand Wagoneer Series III,2022,50070,Gasoline,471.0,6.4,8.0,Automatic,Black,Black,None reported,Yes,75530
Chevrolet,Express 2500 Work Van,2012,226113,E85 Flex Fuel,324.0,6.0,8.0,Automatic,white,Outra,None reported,Yes,10738
Outra,Optima EX,2012,245457,Gasoline,200.0,2.4,4.0,Automatic,white,beige,None reported,Yes,9919
Outra,ES 350 Base,2016,63891,Gasoline,268.0,3.5,6.0,Automatic,white,beige,None reported,Yes,23205
Outra,Crosstrek 2.0i Limited,2018,135272,Gasoline,152.0,2.0,4.0,CVT,Outra,Black,None reported,Yes,19564
Outra,RS 7 4.0T Prestige,2016,104285,Gasoline,560.0,4.0,8.0,Automatic,white,Outra,None reported,Yes,45500
Outra,Q8 55 Premium,2020,55200,Hybrid,335.0,3.0,6.0,Automatic,Outra,Outra,None reported,Yes,47775
Ford,F-250 Lariat,2019,129069,E85 Flex Fuel,385.0,6.2,8.0,Automatic,white,Black,None reported,Yes,38675
Ford,Mustang EcoBoost Premium,2017,95756,Gasoline,310.0,2.3,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110
Outra,MKS EcoBoost,2016,61316,Gasoline,365.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,19110
Outra,Lancer Evolution MR,2006,205996,Gasoline,286.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,34579
Chevrolet,Colorado Z85,2005,249448,Gasoline,220.0,3.5,5.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,7275
Outra,Golf Auto TSI S,2015,173074,Gasoline,170.0,1.8,4.0,DCT,Black,Black,None reported,Yes,12012
BMW,Z4 sDrive28i,2016,94951,Gasoline,240.0,2.0,4.0,Automatic,Black,beige,None reported,Yes,22750
Outra,Solstice GXP,2008,61316,Gasoline,260.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,18154
Outra,LS 430 Base,2006,308994,Gasoline,278.0,4.3,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6725
Ford,Fusion SE,2014,130035,Gasoline,175.0,2.5,4.0,Automatic,Outra,beige,None reported,Yes,9100
Outra,BRZ Premium,2023,9334,Gasoline,228.0,2.4,4.0,Manual,Black,Black,None reported,Yes,27291
Ford,Mustang GT Premium,2013,28968,Gasoline,412.0,5.0,8.0,Automatic,Outra,Black,None reported,Yes,26390
Outra,Golf GTI 2.0T Autobahn,2022,10300,Gasoline,241.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,37765
Chevrolet,Silverado 1500 2LT,2014,165125,E85 Flex Fuel,355.0,5.3,8.0,Automatic,Outra,Outra,None reported,Yes,23205
Outra,Durango SRT 392,2022,51365,Gasoline,475.0,6.4,8.0,Automatic,Outra,Black,None reported,Yes,58862
Outra,CC Sport,2012,212411,Gasoline,200.0,2.0,4.0,Manual,white,Black,At least 1 accident or damage reported,Yes,8190
Outra,Cooper Base,2009,145432,Gasoline,118.0,1.6,4.0,Manual,Outra,Black,None reported,Yes,8418
Outra,Impreza WRX Premium,2014,88514,Gasoline,265.0,2.5,4.0,Manual,white,Black,None reported,Yes,27300
Ford,Transit-350 Base,2015,180247,Gasoline,310.0,3.5,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,26845
Outra,Charger GT,2021,53108,Gasoline,300.0,3.6,6.0,DCT,white,Outra,At least 1 accident or damage reported,Yes,24569
BMW,X1 xDrive28i,2020,45044,Gasoline,228.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,26390
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,53546,Gasoline,192.0,2.3,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,10829
Outra,MX-5 Miata Grand Touring,2007,131001,Gasoline,166.0,2.0,4.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,10010
Outra,Civic Sport,2022,40910,Gasoline,158.0,2.0,4.0,CVT,Outra,Outra,None reported,Yes,22295
Ford,F-250 Limited,2018,102998,Diesel,450.0,6.7,8.0,Automatic,Outra,beige,None reported,Yes,58240
Outra,G35 Sport,2007,59707,Gasoline,306.0,3.5,6.0,Manual,Outra,Black,None reported,Yes,15379
BMW,M4 Base,2018,31060,Gasoline,425.0,3.0,6.0,Manual,white,Outra,None reported,Yes,58240
Outra,Dakota SLT,2003,228205,Gasoline,230.0,4.7,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,5187
Outra,Wrangler SE,2000,153210,Gasoline,120.0,2.5,4.0,Manual,Black,Black,None reported,Yes,10919
Outra,Civic EX,2020,22426,Gasoline,174.0,1.5,4.0,CVT,Outra,Black,None reported,Yes,23660
Chevrolet,Camaro 1SS,2022,10686,Gasoline,455.0,6.2,8.0,Automatic,Outra,Black,None reported,Yes,47319
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,115068,Gasoline,577.0,5.5,8.0,Automatic,white,Outra,None reported,Yes,55510
Chevrolet,Camaro 2LT,2011,203904,Gasoline,312.0,3.6,6.0,DCT,white,beige,At least 1 accident or damage reported,Yes,12740
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,90123,Gasoline,518.0,6.3,8.0,Automatic,Black,Black,None reported,Yes,40814
Outra,MX-5 Miata Shinsen,2003,75435,Gasoline,142.0,1.8,4.0,Manual,Outra,Outra,None reported,Yes,10465
Ford,F-150 XLT,2019,112332,E85 Flex Fuel,395.0,5.0,8.0,Automatic,Outra,Outra,None reported,Yes,31486
Outra,TL 3.2,2008,311864,Gasoline,258.0,3.2,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,9100
Outra,Cayenne Base,2014,189415,Gasoline,300.0,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15447
Mercedes-Benz,CLA-Class CLA 250,2016,142588,Gasoline,208.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15288
Outra,Ascent Touring 7-Passenger,2021,51901,Gasoline,260.0,2.4,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32760
BMW,X1 xDrive28i,2020,29290,Gasoline,228.0,2.0,4.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,26845
Outra,NV200 S,2019,83686,Gasoline,131.0,2.0,4.0,CVT,Black,Outra,At least 1 accident or damage reported,Yes,17745
Mercedes-Benz,S-Class S 450,2018,112010,Gasoline,362.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,37208
Ford,Mustang GT Premium,2010,111045,Gasoline,315.0,4.6,8.0,Automatic,white,Black,None reported,Yes,18200
Outra,DTS Luxury II,2008,151528,Gasoline,275.0,4.6,8.0,Automatic,white,beige,None reported,Yes,9555
Outra,A6 55 Premium,2019,17432,Hybrid,335.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,38675
BMW,650 i,2012,64309,Gasoline,400.0,4.4,8.0,Manual,white,Outra,None reported,Yes,35485
Outra,FX37 Base,2013,82881,Gasoline,325.0,3.7,6.0,Automatic,Outra,Black,None reported,Yes,21749
Outra,Lancer Evolution GSR,2012,53108,Gasoline,291.0,2.0,4.0,Manual,Black,Black,None reported,Yes,31849
BMW,750 Li,2007,184315,Gasoline,360.0,4.8,8.0,Automatic,Black,Black,None reported,Yes,8190
Outra,QX80 Base,2017,195576,Gasoline,400.0,5.6,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,25935
Outra,Wrangler Unlimited 4xe Sahara,2022,16898,Plug-In Hybrid,375.0,2.0,4.0,Automatic,Outra,beige,None reported,Yes,45499
Outra,Sonata GLS,2013,220466,Gasoline,198.0,2.4,4.0,Automatic,Outra,Outra,None reported,Yes,10010
Outra,XC90 Hybrid T8 R-Design,2018,64374,Plug-In Hybrid,400.0,2.0,4.0,DCT,Black,Black,None reported,Yes,38220
Outra,Rover Range Rover 3.0L V6 Supercharged HSE,2019,66305,Gasoline,380.0,3.0,6.0,DCT,Black,Black,None reported,Yes,55055
Outra,Matrix XRS,2003,231102,Gasoline,180.0,1.8,4.0,Manual,Black,Black,None reported,Yes,3821
Outra,Palisade Limited,2020,73732,Gasoline,291.0,3.8,6.0,DCT,Outra,Black,None reported,Yes,34307
BMW,535 i,2008,217261,Gasoline,300.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,5186
Outra,Escalade Base,2007,241402,Gasoline,403.0,6.2,8.0,Automatic,white,beige,None reported,Yes,9099
Outra,XK8 Base,2000,64374,Gasoline,290.0,4.0,8.0,Automatic,Outra,beige,None reported,Yes,14014
Outra,Wrangler Sport,2000,197861,Gasoline,181.0,4.0,6.0,Manual,Outra,Outra,None reported,Yes,12649
Outra,Sequoia Limited,2011,294510,Gasoline,381.0,5.7,8.0,Automatic,Outra,beige,None reported,Yes,14560
Outra,LC 500 Base,2018,59546,Gasoline,471.0,5.0,8.0,Automatic,Black,Outra,None reported,Yes,58237
Ford,Mustang Base,2008,191512,Gasoline,210.0,4.0,6.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,12285
Outra,Ghibli S Q4,2015,46188,Gasoline,404.0,3.0,6.0,Automatic,white,Outra,None reported,No,22659
Outra,Pathfinder SL,2015,185075,Gasoline,260.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,10915
Mercedes-Benz,CLK-Class CLK 350,2008,117482,Gasoline,268.0,3.5,6.0,Automatic,Black,Black,None reported,Yes,7644
Outra,Stinger GT2,2020,91733,Gasoline,365.0,3.3,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,33215
BMW,X6 xDrive50i,2017,126334,Gasoline,445.0,4.4,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,38220
BMW,ALPINA B7 Base,2013,59143,Gasoline,445.0,4.4,8.0,Automatic,Black,Black,None reported,Yes,32759
Outra,1500 Rebel,2019,74030,Hybrid,305.0,3.6,6.0,Automatic,white,Outra,None reported,Yes,34489
Outra,G90 5.0 Ultimate,2017,41843,Gasoline,420.0,5.0,8.0,DCT,white,beige,None reported,Yes,30576
Outra,Arnage R,2003,88594,Gasoline,400.0,6.75,8.0,Automatic,Outra,Outra,None reported,Yes,31845
Ford,Bronco Base,2022,9978,Gasoline,275.0,2.3,4.0,Manual,Black,Black,None reported,Yes,44590
Outra,LS 430 Base,2002,67592,Gasoline,290.0,4.3,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,14559
Mercedes-Benz,E-Class E 350,2016,93945,Gasoline,302.0,3.5,6.0,Automatic,white,beige,None reported,Yes,22749
Chevrolet,Corvette Stingray w/1LT,2021,16737,Gasoline,490.0,6.2,8.0,Automatic,Outra,Black,None reported,Yes,66339
BMW,525 i,2005,147126,Gasoline,215.0,2.5,6.0,Automatic,Black,Black,None reported,Yes,8099
Mercedes-Benz,AMG C 63 Base,2017,45704,Gasoline,469.0,4.0,8.0,Automatic,Outra,Black,None reported,Yes,50596
Outra,Cayenne S,2015,199559,Gasoline,420.0,3.6,6.0,Automatic,white,beige,None reported,Yes,22750
BMW,528 i xDrive,2016,215652,Gasoline,240.0,2.0,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,12285
Outra,FJ Cruiser Base,2014,148060,Gasoline,260.0,4.0,6.0,Automatic,Outra,Black,None reported,Yes,25025
Chevrolet,Traverse RS,2021,71411,Gasoline,310.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,32760
Outra,SC 430 Base,2002,144036,Gasoline,300.0,4.3,8.0,Automatic,Black,Black,None reported,Yes,14559
Outra,350Z Enthusiast,2007,188293,Gasoline,306.0,3.5,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,9077
Outra,Crosstrek 2.0i Premium,2017,80485,Gasoline,148.0,2.0,4.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,19560
Mercedes-Benz,SL-Class SL600 Roadster,2007,125851,Gasoline,510.0,5.5,12.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,20929
Chevrolet,Suburban 1500 LTZ,2010,261794,E85 Flex Fuel,320.0,5.3,8.0,Automatic,Black,Black,None reported,Yes,10920
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,7387,Gasoline,188.0,2.0,4.0,Automatic,white,Black,None reported,Yes,58240
Outra,Durango SRT,2020,57936,Gasoline,475.0,6.4,8.0,Automatic,Outra,Outra,None reported,Yes,56420
Outra,RX 350 Base,2021,8111,Gasoline,295.0,3.5,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,44499
Mercedes-Benz,Maybach S S 600,2016,174614,Gasoline,523.0,6.0,12.0,Automatic,white,beige,None reported,Yes,57785
BMW,M3 Base,2002,96971,Gasoline,333.0,3.2,6.0,Manual,Outra,Black,None reported,Yes,26162
Outra,Escalade Premium Luxury,2021,18441,Gasoline,420.0,6.2,8.0,Automatic,white,Outra,None reported,Yes,80899
Ford,Expedition Max XLT,2018,170066,Gasoline,375.0,3.5,6.0,Automatic,white,beige,None reported,Yes,31845
Outra,CTS Premium,2013,168981,Gasoline,318.0,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10920
Outra,Navigator Reserve,2020,109435,Gasoline,450.0,3.5,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,50959
Outra,S2000 Base,2000,43291,Gasoline,240.0,2.0,4.0,Manual,Outra,Outra,None reported,Yes,31850
BMW,M240 i,2018,98170,Gasoline,335.0,3.0,6.0,Manual,Outra,Black,At least 1 accident or damage reported,Yes,30940
Outra,Gladiator Rubicon,2022,14153,Gasoline,285.0,3.6,6.0,Automatic,white,Black,None reported,Yes,49140
Outra,Lancer DE,2009,230693,Gasoline,152.0,2.0,4.0,Manual,Black,Black,At least 1 accident or damage reported,Yes,2730
BMW,M4 Base,2015,38141,Gasoline,425.0,3.0,6.0,DCT,Black,Black,None reported,Yes,38948
Ford,F-350 Lariat,2015,260714,Diesel,440.0,6.7,8.0,DCT,Outra,beige,None reported,Yes,29120
Outra,Solstice GXP,2007,12553,Gasoline,260.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,17290
Chevrolet,Corvette Z06,2006,33796,Gasoline,505.0,7.0,8.0,Manual,Outra,Black,None reported,Yes,43225
Outra,MDX 3.5L Technology Package,2014,179683,Gasoline,290.0,3.5,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,15925
Outra,Dakota Big Horn/Lone Star,2010,276846,Gasoline,210.0,3.7,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6825
Outra,Veloster Turbo R-Spec,2014,205996,Gasoline,201.0,1.6,4.0,Manual,Outra,Outra,None reported,Yes,10010
Outra,Macan S,2016,80467,Gasoline,340.0,3.0,6.0,Automatic,Outra,Outra,None reported,Yes,32760
Outra,300C Base,2013,140818,Gasoline,292.0,3.6,6.0,Automatic,white,beige,None reported,Yes,12512
BMW,X5 xDrive35i,2014,230539,Gasoline,300.0,3.0,6.0,Automatic,Black,Outra,None reported,Yes,11829
BMW,335 is,2012,139416,Gasoline,320.0,3.0,6.0,Automatic,white,Outra,None reported,Yes,19105
Chevrolet,Silverado 1500 RST,2020,30899,Gasoline,355.0,5.3,8.0,Automatic,Outra,Black,None reported,Yes,63699
BMW,M5 Base,2018,32992,Gasoline,600.0,4.4,8.0,Automatic,Outra,Black,None reported,Yes,60970
Outra,Genesis 4.6,2010,246764,Gasoline,378.0,4.6,8.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,9100
Outra,E-PACE 300 Sport,2021,37981,Hybrid,296.0,2.0,4.0,Automatic,Black,Black,None reported,Yes,39129
Outra,Grand Cherokee Laredo,2011,158775,Gasoline,360.0,5.7,8.0,Automatic,white,Outra,None reported,Yes,13645
Outra,Land Cruiser Base,2008,281635,Gasoline,381.0,5.7,8.0,Automatic,Black,beige,At least 1 accident or damage reported,Yes,34489
Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,118287,Gasoline,241.0,2.0,4.0,Automatic,white,Black,None reported,Yes,17290
BMW,M3 Base,2006,153612,Gasoline,333.0,3.2,6.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,38220
Outra,Accent GLS,2014,205901,Gasoline,138.0,1.6,4.0,Automatic,Outra,Outra,None reported,Yes,6825
BMW,335 is,2011,131966,Gasoline,320.0,3.0,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,18200
Outra,Camry Solara SLE,2008,117482,Gasoline,210.0,3.3,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,10465
Ford,F-250 Lariat,2017,81722,Diesel,440.0,6.7,8.0,Automatic,white,Black,None reported,Yes,55510
