Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur,Preco Previsto
Outra,Xterra S,2012,128748,Gasoline,261.0,4.0,6.0,Automatic,Black,Outra,None reported,Yes,13468,14875.18
Chevrolet,Silverado 2500 LT,2016,135862,E85 Flex Fuel,360.0,6.0,8.0,Automatic,white,Black,None reported,Yes,33488,31573.19
Mercedes-Benz,GL-Class GL 450,2011,149669,Gasoline,335.0,4.7,8.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,10829,12524.15
Outra,Convertible John Cooper Works,2017,39075,Gasoline,228.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,26390,26697.25
Outra,Compass Sport,2010,289199,Gasoline,172.0,2.4,4.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,4095,4575.93
Outra,86 860 Special Edition,2017,140818,Gasoline,200.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,18200,16583.86
Outra,Atlas 3.6L SEL Premium R-Line,2022,22531,Gasoline,276.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,42679,41768.26
Outra,S4 3.0 Prestige,2012,62311,Gasoline,333.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,28210,27750.58
Outra,Grand Cherokee Laredo,2012,267151,E85 Flex Fuel,290.0,3.6,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,11830,10993.23
Outra,Aviator Reserve AWD,2022,29284,Gasoline,400.0,3.0,6.0,DCT,Black,Outra,None reported,Yes,56420,56987.92
Mercedes-Benz,E-Class E 350 4MATIC,2014,144138,Gasoline,302.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,17285,16792.41
Outra,Q60 3.0T Premium,2017,172811,Gasoline,300.0,3.0,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,15925,15924.82
Outra,Solstice Base,2007,100278,Gasoline,177.0,2.4,4.0,Automatic,Outra,Black,None reported,Yes,11739,10177.05
Outra,Macan S,2022,32589,Gasoline,375.0,2.9,6.0,Automatic,white,beige,None reported,Yes,62335,57713.49
Outra,Tucson Limited,2008,239792,Gasoline,173.0,2.7,6.0,Automatic,Black,Outra,None reported,Yes,3504,4563.24
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,52304,Gasoline,385.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,39585,42772.68
Outra,Sierra 1500 Limited Elevation,2022,40073,Gasoline,310.0,2.7,4.0,Automatic,Black,Black,None reported,Yes,45409,45971.58
Ford,Expedition Max Limited,2022,42648,Gasoline,440.0,3.5,6.0,Automatic,white,beige,None reported,Yes,59969,61205.4
Outra,CTS-V Base,2006,197949,Gasoline,400.0,6.0,8.0,Manual,Black,Black,None reported,Yes,13650,14492.45
Outra,Liberty Limited,2010,172200,Gasoline,210.0,3.7,6.0,Automatic,Outra,Outra,None reported,Yes,5369,6401.12
Mercedes-Benz,S-Class S 550,2016,125691,Gasoline,449.0,4.7,8.0,Automatic,Black,Black,None reported,Yes,31395,32005.86
Outra,Dakota Sport,2002,241402,Gasoline,175.0,3.9,6.0,Manual,Black,Outra,At least 1 accident or damage reported,Yes,5005,5441.82
Outra,Escalade Premium Luxury,2017,88514,Gasoline,420.0,6.2,8.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,45409,42221.97
Outra,R8 Base,2008,78858,Gasoline,420.0,4.2,8.0,Manual,Black,Black,None reported,Yes,57330,47301.4
Outra,H2 Base,2005,233355,Gasoline,325.0,6.0,8.0,Automatic,Outra,Black,None reported,Yes,20475,18486.18
Outra,Niro Plug-In Hybrid EX,2023,15128,Plug-In Hybrid,180.0,1.6,4.0,Automatic,Black,Black,None reported,Yes,28665,28924.74
Ford,Focus RS Base,2017,41843,Gasoline,350.0,2.3,4.0,Manual,Outra,Black,None reported,Yes,33670,36578.28
Outra,Boxster S,2005,153161,Gasoline,280.0,3.2,6.0,Manual,Outra,Outra,None reported,Yes,22659,18957.42
Outra,Supra A91-MT Edition,2023,2414,Gasoline,382.0,3.0,6.0,Manual,Outra,Outra,None reported,Yes,77259,69363.31
Outra,A4 2.0T Premium,2012,201168,Gasoline,211.0,2.0,4.0,Automatic,Black,Black,None reported,Yes,9555,9404.24
Outra,SQ5 3.0T Prestige,2019,78053,Gasoline,349.0,3.0,6.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,39585,40740.68
Mercedes-Benz,G-Class G 550 4MATIC,2016,82646,Gasoline,416.0,4.0,8.0,Automatic,Outra,Black,None reported,Yes,66430,56165.45
Ford,Escape SE,2015,87479,Gasoline,173.0,1.6,4.0,Automatic,white,Outra,None reported,Yes,14788,14826.7
Chevrolet,Colorado ZR2,2019,62603,Gasoline,308.0,3.6,6.0,Automatic,white,Black,None reported,Yes,31577,31178.4
Outra,Grand Wagoneer Series III,2022,50070,Gasoline,471.0,6.4,8.0,Automatic,Black,Black,None reported,Yes,75530,70407.14
Chevrolet,Express 2500 Work Van,2012,226113,E85 Flex Fuel,324.0,6.0,8.0,Automatic,white,Outra,None reported,Yes,10738,13335.58
Outra,Optima EX,2012,245457,Gasoline,200.0,2.4,4.0,Automatic,white,beige,None reported,Yes,9919,9093.53
Outra,ES 350 Base,2016,63891,Gasoline,268.0,3.5,6.0,Automatic,white,beige,None reported,Yes,23205,24020.05
Outra,Crosstrek 2.0i Limited,2018,135272,Gasoline,152.0,2.0,4.0,CVT,Outra,Black,None reported,Yes,19564,18183.99
Outra,RS 7 4.0T Prestige,2016,104285,Gasoline,560.0,4.0,8.0,Automatic,white,Outra,None reported,Yes,45500,44496.48
Outra,Q8 55 Premium,2020,55200,Hybrid,335.0,3.0,6.0,Automatic,Outra,Outra,None reported,Yes,47775,49214.9
Ford,F-250 Lariat,2019,129069,E85 Flex Fuel,385.0,6.2,8.0,Automatic,white,Black,None reported,Yes,38675,37149.8
Ford,Mustang EcoBoost Premium,2017,95756,Gasoline,310.0,2.3,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110,22457.62
Outra,MKS EcoBoost,2016,61316,Gasoline,365.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,19110,23532.4
Outra,Lancer Evolution MR,2006,205996,Gasoline,286.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,34579,28598.88
Chevrolet,Colorado Z85,2005,249448,Gasoline,220.0,3.5,5.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,7275,6961.29
Outra,Golf Auto TSI S,2015,173074,Gasoline,170.0,1.8,4.0,DCT,Black,Black,None reported,Yes,12012,11682.97
BMW,Z4 sDrive28i,2016,94951,Gasoline,240.0,2.0,4.0,Automatic,Black,beige,None reported,Yes,22750,22541.93
Outra,Solstice GXP,2008,61316,Gasoline,260.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,18154,19204.34
Outra,LS 430 Base,2006,308994,Gasoline,278.0,4.3,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6725,6963.92
Ford,Fusion SE,2014,130035,Gasoline,175.0,2.5,4.0,Automatic,Outra,beige,None reported,Yes,9100,10529.99
Outra,BRZ Premium,2023,9334,Gasoline,228.0,2.4,4.0,Manual,Black,Black,None reported,Yes,27291,28866.72
Ford,Mustang GT Premium,2013,28968,Gasoline,412.0,5.0,8.0,Automatic,Outra,Black,None reported,Yes,26390,31528.92
Outra,Golf GTI 2.0T Autobahn,2022,10300,Gasoline,241.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,37765,37688.07
Chevrolet,Silverado 1500 2LT,2014,165125,E85 Flex Fuel,355.0,5.3,8.0,Automatic,Outra,Outra,None reported,Yes,23205,23009.95
Outra,Durango SRT 392,2022,51365,Gasoline,475.0,6.4,8.0,Automatic,Outra,Black,None reported,Yes,58862,62039.61
Outra,CC Sport,2012,212411,Gasoline,200.0,2.0,4.0,Manual,white,Black,At least 1 accident or damage reported,Yes,8190,9233.72
Outra,Cooper Base,2009,145432,Gasoline,118.0,1.6,4.0,Manual,Outra,Black,None reported,Yes,8418,8142.23
Outra,Impreza WRX Premium,2014,88514,Gasoline,265.0,2.5,4.0,Manual,white,Black,None reported,Yes,27300,25285.96
Ford,Transit-350 Base,2015,180247,Gasoline,310.0,3.5,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,26845,23594.19
Outra,Charger GT,2021,53108,Gasoline,300.0,3.6,6.0,DCT,white,Outra,At least 1 accident or damage reported,Yes,24569,27719.66
BMW,X1 xDrive28i,2020,45044,Gasoline,228.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,26390,27029.93
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,53546,Gasoline,192.0,2.3,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,10829,14385.61
Outra,MX-5 Miata Grand Touring,2007,131001,Gasoline,166.0,2.0,4.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,10010,9364.38
Outra,Civic Sport,2022,40910,Gasoline,158.0,2.0,4.0,CVT,Outra,Outra,None reported,Yes,22295,22414.84
Ford,F-250 Limited,2018,102998,Diesel,450.0,6.7,8.0,Automatic,Outra,beige,None reported,Yes,58240,55886.19
Outra,G35 Sport,2007,59707,Gasoline,306.0,3.5,6.0,Manual,Outra,Black,None reported,Yes,15379,17762.39
BMW,M4 Base,2018,31060,Gasoline,425.0,3.0,6.0,Manual,white,Outra,None reported,Yes,58240,57112.43
Outra,Dakota SLT,2003,228205,Gasoline,230.0,4.7,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,5187,6062.66
Outra,Wrangler SE,2000,153210,Gasoline,120.0,2.5,4.0,Manual,Black,Black,None reported,Yes,10919,11775.48
Outra,Civic EX,2020,22426,Gasoline,174.0,1.5,4.0,CVT,Outra,Black,None reported,Yes,23660,24720.81
Chevrolet,Camaro 1SS,2022,10686,Gasoline,455.0,6.2,8.0,Automatic,Outra,Black,None reported,Yes,47319,46136.34
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,115068,Gasoline,577.0,5.5,8.0,Automatic,white,Outra,None reported,Yes,55510,52119.71
Chevrolet,Camaro 2LT,2011,203904,Gasoline,312.0,3.6,6.0,DCT,white,beige,At least 1 accident or damage reported,Yes,12740,11932.84
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,90123,Gasoline,518.0,6.3,8.0,Automatic,Black,Black,None reported,Yes,40814,41765.14
Outra,MX-5 Miata Shinsen,2003,75435,Gasoline,142.0,1.8,4.0,Manual,Outra,Outra,None reported,Yes,10465,14121.17
Ford,F-150 XLT,2019,112332,E85 Flex Fuel,395.0,5.0,8.0,Automatic,Outra,Outra,None reported,Yes,31486,32156.55
Outra,TL 3.2,2008,311864,Gasoline,258.0,3.2,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,9100,8020.56
Outra,Cayenne Base,2014,189415,Gasoline,300.0,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15447,14304.1
Mercedes-Benz,CLA-Class CLA 250,2016,142588,Gasoline,208.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15288,15096.46
Outra,Ascent Touring 7-Passenger,2021,51901,Gasoline,260.0,2.4,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32760,32744.44
BMW,X1 xDrive28i,2020,29290,Gasoline,228.0,2.0,4.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,26845,29038.76
Outra,NV200 S,2019,83686,Gasoline,131.0,2.0,4.0,CVT,Black,Outra,At least 1 accident or damage reported,Yes,17745,18361.49
Mercedes-Benz,S-Class S 450,2018,112010,Gasoline,362.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,37208,40475.54
Ford,Mustang GT Premium,2010,111045,Gasoline,315.0,4.6,8.0,Automatic,white,Black,None reported,Yes,18200,17300.95
Outra,DTS Luxury II,2008,151528,Gasoline,275.0,4.6,8.0,Automatic,white,beige,None reported,Yes,9555,9717.64
Outra,A6 55 Premium,2019,17432,Hybrid,335.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,38675,43570.42
BMW,650 i,2012,64309,Gasoline,400.0,4.4,8.0,Manual,white,Outra,None reported,Yes,35485,34007.3
Outra,FX37 Base,2013,82881,Gasoline,325.0,3.7,6.0,Automatic,Outra,Black,None reported,Yes,21749,24852.93
Outra,Lancer Evolution GSR,2012,53108,Gasoline,291.0,2.0,4.0,Manual,Black,Black,None reported,Yes,31849,27771.19
BMW,750 Li,2007,184315,Gasoline,360.0,4.8,8.0,Automatic,Black,Black,None reported,Yes,8190,8881.59
Outra,QX80 Base,2017,195576,Gasoline,400.0,5.6,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,25935,26045.45
Outra,Wrangler Unlimited 4xe Sahara,2022,16898,Plug-In Hybrid,375.0,2.0,4.0,Automatic,Outra,beige,None reported,Yes,45499,50986.63
Outra,Sonata GLS,2013,220466,Gasoline,198.0,2.4,4.0,Automatic,Outra,Outra,None reported,Yes,10010,9932.66
Outra,XC90 Hybrid T8 R-Design,2018,64374,Plug-In Hybrid,400.0,2.0,4.0,DCT,Black,Black,None reported,Yes,38220,41644.75
Outra,Rover Range Rover 3.0L V6 Supercharged HSE,2019,66305,Gasoline,380.0,3.0,6.0,DCT,Black,Black,None reported,Yes,55055,52182.48
Outra,Matrix XRS,2003,231102,Gasoline,180.0,1.8,4.0,Manual,Black,Black,None reported,Yes,3821,4356.89
Outra,Palisade Limited,2020,73732,Gasoline,291.0,3.8,6.0,DCT,Outra,Black,None reported,Yes,34307,33707.2
BMW,535 i,2008,217261,Gasoline,300.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,5186,7511.63
Outra,Escalade Base,2007,241402,Gasoline,403.0,6.2,8.0,Automatic,white,beige,None reported,Yes,9099,10975.22
Outra,XK8 Base,2000,64374,Gasoline,290.0,4.0,8.0,Automatic,Outra,beige,None reported,Yes,14014,15519.66
Outra,Wrangler Sport,2000,197861,Gasoline,181.0,4.0,6.0,Manual,Outra,Outra,None reported,Yes,12649,12337.1
Outra,Sequoia Limited,2011,294510,Gasoline,381.0,5.7,8.0,Automatic,Outra,beige,None reported,Yes,14560,17074.78
Outra,LC 500 Base,2018,59546,Gasoline,471.0,5.0,8.0,Automatic,Black,Outra,None reported,Yes,58237,56962.16
Ford,Mustang Base,2008,191512,Gasoline,210.0,4.0,6.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,12285,10578.41
Outra,Ghibli S Q4,2015,46188,Gasoline,404.0,3.0,6.0,Automatic,white,Outra,None reported,No,22659,27359.73
Outra,Pathfinder SL,2015,185075,Gasoline,260.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,10915,11843.33
Mercedes-Benz,CLK-Class CLK 350,2008,117482,Gasoline,268.0,3.5,6.0,Automatic,Black,Black,None reported,Yes,7644,9665.43
Outra,Stinger GT2,2020,91733,Gasoline,365.0,3.3,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,33215,36703.77
BMW,X6 xDrive50i,2017,126334,Gasoline,445.0,4.4,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,38220,34865.71
BMW,ALPINA B7 Base,2013,59143,Gasoline,445.0,4.4,8.0,Automatic,Black,Black,None reported,Yes,32759,36874.96
Outra,1500 Rebel,2019,74030,Hybrid,305.0,3.6,6.0,Automatic,white,Outra,None reported,Yes,34489,32389.63
Outra,G90 5.0 Ultimate,2017,41843,Gasoline,420.0,5.0,8.0,DCT,white,beige,None reported,Yes,30576,33065.15
Outra,Arnage R,2003,88594,Gasoline,400.0,6.75,8.0,Automatic,Outra,Outra,None reported,Yes,31845,31979.67
Ford,Bronco Base,2022,9978,Gasoline,275.0,2.3,4.0,Manual,Black,Black,None reported,Yes,44590,45009.16
Outra,LS 430 Base,2002,67592,Gasoline,290.0,4.3,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,14559,15517.49
Mercedes-Benz,E-Class E 350,2016,93945,Gasoline,302.0,3.5,6.0,Automatic,white,beige,None reported,Yes,22749,24101.21
Chevrolet,Corvette Stingray w/1LT,2021,16737,Gasoline,490.0,6.2,8.0,Automatic,Outra,Black,None reported,Yes,66339,67880.48
BMW,525 i,2005,147126,Gasoline,215.0,2.5,6.0,Automatic,Black,Black,None reported,Yes,8099,8172.49
Mercedes-Benz,AMG C 63 Base,2017,45704,Gasoline,469.0,4.0,8.0,Automatic,Outra,Black,None reported,Yes,50596,54768.82
Outra,Cayenne S,2015,199559,Gasoline,420.0,3.6,6.0,Automatic,white,beige,None reported,Yes,22750,23846.46
BMW,528 i xDrive,2016,215652,Gasoline,240.0,2.0,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,12285,12704.14
Outra,FJ Cruiser Base,2014,148060,Gasoline,260.0,4.0,6.0,Automatic,Outra,Black,None reported,Yes,25025,25393.29
Chevrolet,Traverse RS,2021,71411,Gasoline,310.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,32760,34950.72
Outra,SC 430 Base,2002,144036,Gasoline,300.0,4.3,8.0,Automatic,Black,Black,None reported,Yes,14559,14280.06
Outra,350Z Enthusiast,2007,188293,Gasoline,306.0,3.5,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,9077,9634.2
Outra,Crosstrek 2.0i Premium,2017,80485,Gasoline,148.0,2.0,4.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,19560,18443.0
Mercedes-Benz,SL-Class SL600 Roadster,2007,125851,Gasoline,510.0,5.5,12.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,20929,26123.88
Chevrolet,Suburban 1500 LTZ,2010,261794,E85 Flex Fuel,320.0,5.3,8.0,Automatic,Black,Black,None reported,Yes,10920,11351.7
Mercedes-Benz,Sprinter 2500 Standard Roof,2022,7387,Gasoline,188.0,2.0,4.0,Automatic,white,Black,None reported,Yes,58240,48186.9
Outra,Durango SRT,2020,57936,Gasoline,475.0,6.4,8.0,Automatic,Outra,Outra,None reported,Yes,56420,58423.65
Outra,RX 350 Base,2021,8111,Gasoline,295.0,3.5,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,44499,43201.04
Mercedes-Benz,Maybach S S 600,2016,174614,Gasoline,523.0,6.0,12.0,Automatic,white,beige,None reported,Yes,57785,49724.71
BMW,M3 Base,2002,96971,Gasoline,333.0,3.2,6.0,Manual,Outra,Black,None reported,Yes,26162,23837.12
Outra,Escalade Premium Luxury,2021,18441,Gasoline,420.0,6.2,8.0,Automatic,white,Outra,None reported,Yes,80899,76121.74
Ford,Expedition Max XLT,2018,170066,Gasoline,375.0,3.5,6.0,Automatic,white,beige,None reported,Yes,31845,29733.86
Outra,CTS Premium,2013,168981,Gasoline,318.0,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10920,12463.54
Outra,Navigator Reserve,2020,109435,Gasoline,450.0,3.5,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,50959,48364.0
Outra,S2000 Base,2000,43291,Gasoline,240.0,2.0,4.0,Manual,Outra,Outra,None reported,Yes,31850,27880.35
BMW,M240 i,2018,98170,Gasoline,335.0,3.0,6.0,Manual,Outra,Black,At least 1 accident or damage reported,Yes,30940,30767.78
Outra,Gladiator Rubicon,2022,14153,Gasoline,285.0,3.6,6.0,Automatic,white,Black,None reported,Yes,49140,47559.68
Outra,Lancer DE,2009,230693,Gasoline,152.0,2.0,4.0,Manual,Black,Black,At least 1 accident or damage reported,Yes,2730,3512.57
BMW,M4 Base,2015,38141,Gasoline,425.0,3.0,6.0,DCT,Black,Black,None reported,Yes,38948,43043.31
Ford,F-350 Lariat,2015,260714,Diesel,440.0,6.7,8.0,DCT,Outra,beige,None reported,Yes,29120,32066.56
Outra,Solstice GXP,2007,12553,Gasoline,260.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,17290,22312.91
Chevrolet,Corvette Z06,2006,33796,Gasoline,505.0,7.0,8.0,Manual,Outra,Black,None reported,Yes,43225,46267.99
Outra,MDX 3.5L Technology Package,2014,179683,Gasoline,290.0,3.5,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,15925,15216.56
Outra,Dakota Big Horn/Lone Star,2010,276846,Gasoline,210.0,3.7,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6825,6696.61
