Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur,Preco Previsto,Data_Pedido,Data_Resposta,rating
Ford,F-250 King Ranch,2015,157233,Diesel,440.0,6.7,8.0,Automatic,Black,Outra,None reported,Yes,36354,36677,2023-02-19,2023-02-21,6.2
BMW,M2 Competition,2020,40255,Gasoline,405.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,50050,51429,2022-01-10,2022-01-13,6.8
BMW,328 i xDrive,2016,104607,Gasoline,240.0,2.0,4.0,DCT,Outra,Black,None reported,Yes,17745,17835,2022-04-14,2022-04-17,2.9
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157716,Gasoline,248.0,3.5,6.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,14105,13543,2023-07-15,2023-07-17,3.2
Outra,Yukon SLT,2018,137599,Gasoline,355.0,5.3,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32668,33645,2023-03-24,2023-03-27,5.2
BMW,330e iPerformance,2018,72828,Plug-In Hybrid,247.0,2.0,4.0,DCT,Black,Black,None reported,Yes,22745,23147,2022-05-03,2022-05-04,4.1
Ford,Explorer Limited,2022,28164,Hybrid,318.0,3.3,6.0,Automatic,white,Black,None reported,Yes,41860,45709,2022-05-05,2022-05-06,9.4
Outra,Pacifica Launch Edition,2020,35727,Gasoline,287.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,33488,34736,2023-06-28,2023-07-02,9.8
Outra,Enclave Leather,2015,110486,Gasoline,288.0,3.6,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,17244,17966,2022-09-19,2022-09-20,1.0
Outra,Wrangler Sport,2012,92114,Gasoline,285.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,20475,22988,2022-04-13,2022-04-14,9.2
Outra,A4 2.0T Premium Plus,2015,117482,E85 Flex Fuel,220.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15652,15216,2023-01-13,2023-01-14,7.8
Outra,Impreza WRX Base,2013,181856,Gasoline,265.0,2.5,4.0,Manual,Outra,Black,At least 1 accident or damage reported,Yes,14560,14132,2022-06-08,2022-06-09,2.3
Outra,Touareg TDI Lux,2015,24409,Diesel,240.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,31850,33091,2023-11-06,2023-11-08,9.0
Outra,Escalade Platinum,2020,78235,Gasoline,420.0,6.2,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,55965,57149,2023-07-18,2023-07-22,2.5
Outra,QX80 SENSORY,2022,42680,Gasoline,400.0,5.6,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,58240,57204,2023-08-13,2023-08-14,2.9
BMW,Z4 3.0si,2008,95365,Gasoline,255.0,3.0,6.0,Manual,Outra,Black,None reported,Yes,16562,18068,2022-02-28,2022-03-04,1.7
Ford,F-250 XLT Super Duty,2001,103495,Gasoline,260.0,5.4,8.0,Automatic,white,Outra,None reported,Yes,6825,8905,2022-04-19,2022-04-20,5.6
BMW,X5 xDrive35i,2017,169142,Gasoline,300.0,3.0,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,21203,21256,2022-09-28,2022-09-29,1.5
Outra,Xterra S,2012,128748,Gasoline,261.0,4.0,6.0,Automatic,Black,Outra,None reported,Yes,13468,14875,2023-08-10,2023-08-13,2.0
Chevrolet,Silverado 2500 LT,2016,135862,E85 Flex Fuel,360.0,6.0,8.0,Automatic,white,Black,None reported,Yes,33488,31573,2022-10-29,2022-10-31,3.3
Mercedes-Benz,GL-Class GL 450,2011,149669,Gasoline,335.0,4.7,8.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,10829,12524,2023-08-05,2023-08-07,6.2
Outra,Convertible John Cooper Works,2017,39075,Gasoline,228.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,26390,26697,2022-12-01,2022-12-05,9.9
Outra,Compass Sport,2010,289199,Gasoline,172.0,2.4,4.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,4095,4575,2023-04-21,2023-04-25,6.3
Outra,86 860 Special Edition,2017,140818,Gasoline,200.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,18200,16583,2023-11-07,2023-11-10,9.1
Outra,Atlas 3.6L SEL Premium R-Line,2022,22531,Gasoline,276.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,42679,41768,2023-06-12,2023-06-13,6.1
Outra,S4 3.0 Prestige,2012,62311,Gasoline,333.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,28210,27750,2022-08-20,2022-08-21,9.1
Outra,Grand Cherokee Laredo,2012,267151,E85 Flex Fuel,290.0,3.6,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,11830,10993,2023-05-09,2023-05-11,1.8
Outra,Aviator Reserve AWD,2022,29284,Gasoline,400.0,3.0,6.0,DCT,Black,Outra,None reported,Yes,56420,56987,2023-04-07,2023-04-11,5.9
Mercedes-Benz,E-Class E 350 4MATIC,2014,144138,Gasoline,302.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,17285,16792,2023-05-01,2023-05-03,8.2
Outra,Q60 3.0T Premium,2017,172811,Gasoline,300.0,3.0,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,15925,15924,2023-08-02,2023-08-04,2.2
Outra,Solstice Base,2007,100278,Gasoline,177.0,2.4,4.0,Automatic,Outra,Black,None reported,Yes,11739,10177,2023-06-13,2023-06-14,6.5
Outra,Macan S,2022,32589,Gasoline,375.0,2.9,6.0,Automatic,white,beige,None reported,Yes,62335,57713,2022-10-30,2022-11-02,3.4
Outra,Tucson Limited,2008,239792,Gasoline,173.0,2.7,6.0,Automatic,Black,Outra,None reported,Yes,3504,4563,2022-12-18,2022-12-20,3.0
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,52304,Gasoline,385.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,39585,42772,2022-10-31,2022-11-03,5.2
Outra,Sierra 1500 Limited Elevation,2022,40073,Gasoline,310.0,2.7,4.0,Automatic,Black,Black,None reported,Yes,45409,45971,2023-01-27,2023-01-31,1.7
Ford,Expedition Max Limited,2022,42648,Gasoline,440.0,3.5,6.0,Automatic,white,beige,None reported,Yes,59969,61205,2023-11-06,2023-11-09,3.8
Outra,CTS-V Base,2006,197949,Gasoline,400.0,6.0,8.0,Manual,Black,Black,None reported,Yes,13650,14492,2022-08-26,2022-08-29,7.2
Outra,Liberty Limited,2010,172200,Gasoline,210.0,3.7,6.0,Automatic,Outra,Outra,None reported,Yes,5369,6401,2023-02-17,2023-02-19,3.6
Mercedes-Benz,S-Class S 550,2016,125691,Gasoline,449.0,4.7,8.0,Automatic,Black,Black,None reported,Yes,31395,32005,2022-05-28,2022-06-01,6.3
Outra,Dakota Sport,2002,241402,Gasoline,175.0,3.9,6.0,Manual,Black,Outra,At least 1 accident or damage reported,Yes,5005,5441,2023-06-02,2023-06-04,4.7
Outra,Escalade Premium Luxury,2017,88514,Gasoline,420.0,6.2,8.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,45409,42221,2022-02-25,2022-02-26,8.4
Outra,R8 Base,2008,78858,Gasoline,420.0,4.2,8.0,Manual,Black,Black,None reported,Yes,57330,47301,2023-09-12,2023-09-14,3.2
Outra,H2 Base,2005,233355,Gasoline,325.0,6.0,8.0,Automatic,Outra,Black,None reported,Yes,20475,18486,2022-09-28,2022-09-29,6.6
Outra,Niro Plug-In Hybrid EX,2023,15128,Plug-In Hybrid,180.0,1.6,4.0,Automatic,Black,Black,None reported,Yes,28665,28924,2022-05-10,2022-05-14,3.6
Ford,Focus RS Base,2017,41843,Gasoline,350.0,2.3,4.0,Manual,Outra,Black,None reported,Yes,33670,36578,2022-10-15,2022-10-16,9.3
Outra,Boxster S,2005,153161,Gasoline,280.0,3.2,6.0,Manual,Outra,Outra,None reported,Yes,22659,18957,2022-03-09,2022-03-10,10.0
Outra,Supra A91-MT Edition,2023,2414,Gasoline,382.0,3.0,6.0,Manual,Outra,Outra,None reported,Yes,77259,69363,2023-07-20,2023-07-22,4.8
Outra,A4 2.0T Premium,2012,201168,Gasoline,211.0,2.0,4.0,Automatic,Black,Black,None reported,Yes,9555,9404,2022-07-31,2022-08-03,8.7
Outra,SQ5 3.0T Prestige,2019,78053,Gasoline,349.0,3.0,6.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,39585,40740,2022-09-27,2022-09-28,4.0
Mercedes-Benz,G-Class G 550 4MATIC,2016,82646,Gasoline,416.0,4.0,8.0,Automatic,Outra,Black,None reported,Yes,66430,56165,2023-07-06,2023-07-07,6.4
Ford,Escape SE,2015,87479,Gasoline,173.0,1.6,4.0,Automatic,white,Outra,None reported,Yes,14788,14826,2022-10-14,2022-10-18,6.0
Chevrolet,Colorado ZR2,2019,62603,Gasoline,308.0,3.6,6.0,Automatic,white,Black,None reported,Yes,31577,31178,2022-12-23,2022-12-27,6.8
Outra,Grand Wagoneer Series III,2022,50070,Gasoline,471.0,6.4,8.0,Automatic,Black,Black,None reported,Yes,75530,70407,2023-09-19,2023-09-23,2.4
Chevrolet,Express 2500 Work Van,2012,226113,E85 Flex Fuel,324.0,6.0,8.0,Automatic,white,Outra,None reported,Yes,10738,13335,2023-06-10,2023-06-11,8.1
Outra,Optima EX,2012,245457,Gasoline,200.0,2.4,4.0,Automatic,white,beige,None reported,Yes,9919,9093,2022-07-29,2022-07-31,3.7
Outra,ES 350 Base,2016,63891,Gasoline,268.0,3.5,6.0,Automatic,white,beige,None reported,Yes,23205,24020,2022-04-20,2022-04-21,2.0
Outra,Crosstrek 2.0i Limited,2018,135272,Gasoline,152.0,2.0,4.0,CVT,Outra,Black,None reported,Yes,19564,18183,2023-07-10,2023-07-11,2.2
Outra,RS 7 4.0T Prestige,2016,104285,Gasoline,560.0,4.0,8.0,Automatic,white,Outra,None reported,Yes,45500,44496,2022-11-01,2022-11-05,7.5
Outra,Q8 55 Premium,2020,55200,Hybrid,335.0,3.0,6.0,Automatic,Outra,Outra,None reported,Yes,47775,49214,2023-02-28,2023-03-01,4.0
Ford,F-250 Lariat,2019,129069,E85 Flex Fuel,385.0,6.2,8.0,Automatic,white,Black,None reported,Yes,38675,37149,2023-04-21,2023-04-25,3.4
Ford,Mustang EcoBoost Premium,2017,95756,Gasoline,310.0,2.3,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110,22457,2022-05-19,2022-05-23,1.7
Outra,MKS EcoBoost,2016,61316,Gasoline,365.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,19110,23532,2022-12-20,2022-12-23,4.1
Outra,Lancer Evolution MR,2006,205996,Gasoline,286.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,34579,28598,2023-03-19,2023-03-23,3.1
Chevrolet,Colorado Z85,2005,249448,Gasoline,220.0,3.5,5.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,7275,6961,2023-03-31,2023-04-04,9.6
Outra,Golf Auto TSI S,2015,173074,Gasoline,170.0,1.8,4.0,DCT,Black,Black,None reported,Yes,12012,11682,2022-02-10,2022-02-14,2.6
BMW,Z4 sDrive28i,2016,94951,Gasoline,240.0,2.0,4.0,Automatic,Black,beige,None reported,Yes,22750,22541,2023-11-07,2023-11-08,4.3
Outra,Solstice GXP,2008,61316,Gasoline,260.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,18154,19204,2022-01-06,2022-01-08,6.2
Outra,LS 430 Base,2006,308994,Gasoline,278.0,4.3,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6725,6963,2022-07-11,2022-07-14,6.4
Ford,Fusion SE,2014,130035,Gasoline,175.0,2.5,4.0,Automatic,Outra,beige,None reported,Yes,9100,10529,2022-04-03,2022-04-06,8.2
Outra,BRZ Premium,2023,9334,Gasoline,228.0,2.4,4.0,Manual,Black,Black,None reported,Yes,27291,28866,2023-10-13,2023-10-17,2.0
Ford,Mustang GT Premium,2013,28968,Gasoline,412.0,5.0,8.0,Automatic,Outra,Black,None reported,Yes,26390,31528,2023-06-25,2023-06-29,7.8
Outra,Golf GTI 2.0T Autobahn,2022,10300,Gasoline,241.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,37765,37688,2022-10-09,2022-10-10,9.0
Chevrolet,Silverado 1500 2LT,2014,165125,E85 Flex Fuel,355.0,5.3,8.0,Automatic,Outra,Outra,None reported,Yes,23205,23009,2023-03-30,2023-04-03,9.1
Outra,Durango SRT 392,2022,51365,Gasoline,475.0,6.4,8.0,Automatic,Outra,Black,None reported,Yes,58862,62039,2022-05-26,2022-05-27,9.4
Outra,CC Sport,2012,212411,Gasoline,200.0,2.0,4.0,Manual,white,Black,At least 1 accident or damage reported,Yes,8190,9233,2022-06-12,2022-06-16,9.5
Outra,Cooper Base,2009,145432,Gasoline,118.0,1.6,4.0,Manual,Outra,Black,None reported,Yes,8418,8142,2023-05-20,2023-05-23,3.8
Outra,Impreza WRX Premium,2014,88514,Gasoline,265.0,2.5,4.0,Manual,white,Black,None reported,Yes,27300,25285,2022-12-18,2022-12-21,6.5
Ford,Transit-350 Base,2015,180247,Gasoline,310.0,3.5,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,26845,23594,2022-08-04,2022-08-05,5.3
Outra,Charger GT,2021,53108,Gasoline,300.0,3.6,6.0,DCT,white,Outra,At least 1 accident or damage reported,Yes,24569,27719,2022-07-11,2022-07-13,5.2
BMW,X1 xDrive28i,2020,45044,Gasoline,228.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,26390,27029,2023-08-25,2023-08-29,7.8
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,53546,Gasoline,192.0,2.3,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,10829,14385,2022-03-04,2022-03-05,7.1
Outra,MX-5 Miata Grand Touring,2007,131001,Gasoline,166.0,2.0,4.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,10010,9364,2023-05-31,2023-06-03,3.1
Outra,Civic Sport,2022,40910,Gasoline,158.0,2.0,4.0,CVT,Outra,Outra,None reported,Yes,22295,22414,2022-01-18,2022-01-21,2.8
Ford,F-250 Limited,2018,102998,Diesel,450.0,6.7,8.0,Automatic,Outra,beige,None reported,Yes,58240,55886,2023-07-09,2023-07-10,7.5
Outra,G35 Sport,2007,59707,Gasoline,306.0,3.5,6.0,Manual,Outra,Black,None reported,Yes,15379,17762,2022-04-16,2022-04-18,4.7
BMW,M4 Base,2018,31060,Gasoline,425.0,3.0,6.0,Manual,white,Outra,None reported,Yes,58240,57112,2023-12-02,2023-12-05,3.1
Outra,Dakota SLT,2003,228205,Gasoline,230.0,4.7,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,5187,6062,2023-10-18,2023-10-22,6.3
Outra,Wrangler SE,2000,153210,Gasoline,120.0,2.5,4.0,Manual,Black,Black,None reported,Yes,10919,11775,2022-11-29,2022-12-03,1.4
Outra,Civic EX,2020,22426,Gasoline,174.0,1.5,4.0,CVT,Outra,Black,None reported,Yes,23660,24720,2022-02-06,2022-02-10,3.0
Chevrolet,Camaro 1SS,2022,10686,Gasoline,455.0,6.2,8.0,Automatic,Outra,Black,None reported,Yes,47319,46136,2023-10-16,2023-10-17,2.5
Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,115068,Gasoline,577.0,5.5,8.0,Automatic,white,Outra,None reported,Yes,55510,52119,2023-10-29,2023-11-02,4.4
Chevrolet,Camaro 2LT,2011,203904,Gasoline,312.0,3.6,6.0,DCT,white,beige,At least 1 accident or damage reported,Yes,12740,11932,2022-08-26,2022-08-30,8.3
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,90123,Gasoline,518.0,6.3,8.0,Automatic,Black,Black,None reported,Yes,40814,41765,2023-11-30,2023-12-02,9.2
Outra,MX-5 Miata Shinsen,2003,75435,Gasoline,142.0,1.8,4.0,Manual,Outra,Outra,None reported,Yes,10465,14121,2023-03-12,2023-03-14,1.3
Ford,F-150 XLT,2019,112332,E85 Flex Fuel,395.0,5.0,8.0,Automatic,Outra,Outra,None reported,Yes,31486,32156,2022-11-19,2022-11-23,8.1
Outra,TL 3.2,2008,311864,Gasoline,258.0,3.2,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,9100,8020,2022-08-21,2022-08-25,5.9
Outra,Cayenne Base,2014,189415,Gasoline,300.0,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15447,14304,2023-02-25,2023-02-28,3.9
Mercedes-Benz,CLA-Class CLA 250,2016,142588,Gasoline,208.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15288,15096,2022-01-22,2022-01-25,8.6
Outra,Ascent Touring 7-Passenger,2021,51901,Gasoline,260.0,2.4,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32760,32744,2023-04-24,2023-04-26,9.2
BMW,X1 xDrive28i,2020,29290,Gasoline,228.0,2.0,4.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,26845,29038,2023-03-29,2023-04-02,1.1
Outra,NV200 S,2019,83686,Gasoline,131.0,2.0,4.0,CVT,Black,Outra,At least 1 accident or damage reported,Yes,17745,18361,2023-08-31,2023-09-03,2.3
Mercedes-Benz,S-Class S 450,2018,112010,Gasoline,362.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,37208,40475,2023-07-13,2023-07-14,6.7
Ford,Mustang GT Premium,2010,111045,Gasoline,315.0,4.6,8.0,Automatic,white,Black,None reported,Yes,18200,17300,2023-06-02,2023-06-03,8.7
Outra,DTS Luxury II,2008,151528,Gasoline,275.0,4.6,8.0,Automatic,white,beige,None reported,Yes,9555,9717,2023-12-16,2023-12-19,4.5
Outra,A6 55 Premium,2019,17432,Hybrid,335.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,38675,43570,2023-05-02,2023-05-03,8.7
BMW,650 i,2012,64309,Gasoline,400.0,4.4,8.0,Manual,white,Outra,None reported,Yes,35485,34007,2023-07-15,2023-07-16,4.3
Outra,FX37 Base,2013,82881,Gasoline,325.0,3.7,6.0,Automatic,Outra,Black,None reported,Yes,21749,24852,2023-01-09,2023-01-13,2.6
Outra,Lancer Evolution GSR,2012,53108,Gasoline,291.0,2.0,4.0,Manual,Black,Black,None reported,Yes,31849,27771,2023-04-23,2023-04-25,3.4
BMW,750 Li,2007,184315,Gasoline,360.0,4.8,8.0,Automatic,Black,Black,None reported,Yes,8190,8881,2023-02-23,2023-02-25,1.6
Outra,QX80 Base,2017,195576,Gasoline,400.0,5.6,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,25935,26045,2022-02-08,2022-02-10,9.5
Outra,Wrangler Unlimited 4xe Sahara,2022,16898,Plug-In Hybrid,375.0,2.0,4.0,Automatic,Outra,beige,None reported,Yes,45499,50986,2023-10-03,2023-10-07,1.2
Outra,Sonata GLS,2013,220466,Gasoline,198.0,2.4,4.0,Automatic,Outra,Outra,None reported,Yes,10010,9932,2023-07-02,2023-07-05,9.9
Outra,XC90 Hybrid T8 R-Design,2018,64374,Plug-In Hybrid,400.0,2.0,4.0,DCT,Black,Black,None reported,Yes,38220,41644,2023-08-06,2023-08-07,4.4
Outra,Rover Range Rover 3.0L V6 Supercharged HSE,2019,66305,Gasoline,380.0,3.0,6.0,DCT,Black,Black,None reported,Yes,55055,52182,2023-03-12,2023-03-15,9.4
Outra,Matrix XRS,2003,231102,Gasoline,180.0,1.8,4.0,Manual,Black,Black,None reported,Yes,3821,4356,2023-11-11,2023-11-12,5.9
Outra,Palisade Limited,2020,73732,Gasoline,291.0,3.8,6.0,DCT,Outra,Black,None reported,Yes,34307,33707,2023-10-04,2023-10-08,6.0
BMW,535 i,2008,217261,Gasoline,300.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,5186,7511,2023-05-13,2023-05-15,6.8
Outra,Escalade Base,2007,241402,Gasoline,403.0,6.2,8.0,Automatic,white,beige,None reported,Yes,9099,10975,2023-08-27,2023-08-29,3.6
Outra,XK8 Base,2000,64374,Gasoline,290.0,4.0,8.0,Automatic,Outra,beige,None reported,Yes,14014,15519,2022-01-10,2022-01-12,2.8
Outra,Wrangler Sport,2000,197861,Gasoline,181.0,4.0,6.0,Manual,Outra,Outra,None reported,Yes,12649,12337,2022-10-14,2022-10-18,6.9
Outra,Sequoia Limited,2011,294510,Gasoline,381.0,5.7,8.0,Automatic,Outra,beige,None reported,Yes,14560,17074,2023-08-20,2023-08-21,3.3
Outra,LC 500 Base,2018,59546,Gasoline,471.0,5.0,8.0,Automatic,Black,Outra,None reported,Yes,58237,56962,2023-06-22,2023-06-23,4.8
Ford,Mustang Base,2008,191512,Gasoline,210.0,4.0,6.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,12285,10578,2022-12-30,2023-01-02,6.5
Outra,Ghibli S Q4,2015,46188,Gasoline,404.0,3.0,6.0,Automatic,white,Outra,None reported,No,22659,27359,2023-06-03,2023-06-06,3.4
Outra,Pathfinder SL,2015,185075,Gasoline,260.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,10915,11843,2023-12-19,2023-12-21,1.5
Mercedes-Benz,CLK-Class CLK 350,2008,117482,Gasoline,268.0,3.5,6.0,Automatic,Black,Black,None reported,Yes,7644,9665,2022-08-11,2022-08-14,8.7
Outra,Stinger GT2,2020,91733,Gasoline,365.0,3.3,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,33215,36703,2023-04-06,2023-04-08,1.6
BMW,X6 xDrive50i,2017,126334,Gasoline,445.0,4.4,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,38220,34865,2022-12-08,2022-12-11,1.8
